A	a
somnium	a dream, fancy /foolish nonesense. dream, fancy, day-dream /foolishness, nonsense.
somnus	sleep.
sonitus	noise, sound.
sono	to cry out, utter. to make a noise /sing /celebrate/ (of words) to mean.
sophisma	sophism.
sophismata	falso conclusions, logical fallacies.
sopor	deep sleep.
soporo	to still.
sordeo	to be dirty, appear vile.
sordes	filth, meanness, stinginess.
sordesco	to become dirty.
sors	lot, allotment, share, fortune.
sortilegus	soothsayer.
sortitus	casting lots, deciding by lot.
sospes	unharmed, safe and sound.
sospitas	health.
spargo	to  to cut hair. to scatter, hurl.
spatior	to stoll, walk around, take a walk, amble.
spatiosus	ample.
spatium	interval.
specialis	secret, confidential /initimate or special friend.
specialissimus	very strange, peculiar, individual.
specialitas	special friendship /peculiarity. special quality /speciality.
species	mien, splendor, quality.
specimen	ideal.
speciosus	beautiful, handsome, imposing / specious plausible.
spectaculum	spectacle, show.
specto	to behold, regard, await, expect. to look at, watch, see/aim at, tend towards.
speculatio	observation.
speculum	mirror.
specus	cave, cavern, grotto, den.
spensa	storehouse.
spera	(n.pl.) hopes.
sperma	seed, semen, sperm.
sperno	to scorn.
spero	to hope for, hope. to hope.
spes	hope.
spiculum	arrow. sharp point, sting, spear, dart.
spiritum	spirit
spiritus	breath, breathing /life /spirit.
spiro	to blow.
splendens	brilliant.
splendeo	to gleam.
splendidus	splendid, magnificent.
spoliatio	plundering, looting, stripping, robbing. sacking
spolio	to strip, plunder, despoil, rob, loot.
spolium	spoils, plunder, booty.
spondeo	to betroth, promise, pledge.
sponsalia	betrothal gift.
sponte	willingly, of one's own accord, unaided.
spurcamen	filth.
spurcus	filthy.
squalor	foulness.
stabilis	firm, stable, steadfast.
stabilitas	steadfastness, firmness, stability, durability.
statim	firmly, steadfastly, on the spot, at once. instantly, immediately.
statio	assembly.
statua	statue, image.
statuo	to cause to stand, establish, place, set up. to give a ruling, make an arrangment, decide. to hold, to establish.
status	stage.
stella	star.
stelliger	starry.
stemma	garland, pedigree.
sterilis	barren, useless, unproductive, vain/ + gen., deprived of.
sterno	to throw to the ground.
stilla	a drop (of liquid).
stillicidium	dripping moisture, rainwater from the eaves.
stilus	a pike, pale /a stylus for writing /writing.
stimulo	goad.
stimulus	incentive.
stipatio	a crowd of attendants, a following.
stipator	an attendant of a nobleman.
stipatores	following, retinue, attendants, bodguard.
stipes	log, stump, tree trunk, branch, post, club.
stipo	to compress /to press around, gather around /attend (a person).
sto	to stand one's ground, stand upright.
stolide	stupidly.
stolidus	dull, obtuse, dull-witted, dumb. slow of mind, stolid.
stomachata	vexed at, irritated with, fume.
strages	massacre, bloodbath, carnage /debris.
strenue	actively.
strenuus	brisk, active, vigorous/ turbulent, restive.
strepitus	din.
stringo	to reduce, inhibit, diminish, narrow.
strues	piles, heaps, masses.
struo	to devise, fit out.
studeo	to be diligent, strive after.
studio	(+ dat.) to study, pursue eagerly, be eager for.
studiose	eagerly.
studiosus	zealous.
studium	eagerness, zeal.
stulte	foolishly.
stultus	foolish /a fool.
stupefactus	stunned.
stupendum	astounding.
stupeo	to be astounded.
stupidus	struck senseless.
stupor	astonishment.
stupro	to ravish.
stuprum	debauchery.
suadeo	 to speak in favor of. to recommend, advise (a person).
suasoria	persuasive discourse.
suavis	agreeable.
sub	(+ acc. or dat.) under, up under, close to, beneath, below.
subactus	subjected.
subaudio	hear a little.
subcribo	to write beneath, sign /prosecute,.
subcriptio	subscription, signature / register.
subdido	to subject.
subditus	subject.
subdo	subjugate, subject.
subdolus	sly.
subduco	to take away by stealth.
subeo	to  approach, submit to.
subicio	to subordinate.
subiecto	to put down, to put under.
subigo	to  put down, conquer, compel.
subinfero	to add.
subito	adv. suddenly, unexpectedly.
subitus	sudden, unexpected.
subiungo	to yoke beneath, join, attach, subdue, subjugate.
subjectio	forgery, falsehood.
subjungo	to join, yoke.
subligo	to bind below, bind on.
sublime	on high, aloft.
sublimis	lofty, raised, elevated, sublime.
sublimitas	loftiness, height, elevation, sublimity.
sublimiter	loftily.
sublimo	to exalt.
subluceo	to gleam faintly, glimmer, glow.
subluo	to wash beneath /(rivers) flow beneath.
sublustris	faintly glimmering, faintly gleaming.
subnascor	to grow out of.
subnecto	to bind on beneath, to tie. to bind.
subnego	faintly deny, partially refuse.
subnixus	relying on, supported by.
subnoto	to mark beneath, notice secretly, write underneath.
subnuba	a rival.
subnubilus	partly cloudy, somewhat cloudy.
subo	to be in heat.
subobscenus	risque, faintly obscene.
subobscurus	somewhat obscure.
subodiosus	rather unpleasant.
suboleo	(3 persons only) to give off a smell/ to make onself noticed.
suboles	offspring, offshoot. shoot, sprout, offspring, progeny.
subolesco	to grow up, mature.
suborior	to arise in succession.
suborno	to furnish, equip, provide /instigate secretly, suborn.
subringor	to make a face.
subsannatio	mockery.
subsanno	to mock.
subscalpo	to needle.
subseco	to cut away, pare.
subsentio	to notice secretly.
subsequens	P.P. of sequor, ensuing, following.
subsequor	to follow after.
subservio	to be subject to, comply with.
subsidarius	in reserve.
subsidium	reserve troops, auxiliary troops. support, help, assistance.
subsido	stay remain /lie in ambush. to crouch down, settle, sink, subside.
subsilio	toleap up, spring up.
subsisto	to be there. to stand, withstand /stop, halt, cease /stay, remain.
substantia	substance, essence, means of subsistence, property.
substerno	to spread out beneath, lay under, set out, provide.
substo	to stand form.
substrictus	narrow, contracted, small.
substringo	to draw together, bind up.
substructio	base, foundation.
substruo	to build beneath, lay a foundation.
subsulto	to spring up, leap up.
subterfugio	to escape.
subterlabor	to glide away, flow under, slip away, escape.
subtilis	precise.
subtilitas	precision.
subtraho	to carry off by stealth.
subucula	waistcoat
subveho	to carry, esp carry upstream.
subvenio	to come to  to ones assistance, succor. to come to the aid, succor, relieve, help, assist. to come up to aid, relieve.
subversio	to overthrow.
subvertio	to destroy, overthrow.
subverto	to overturn, destroy. .
succedo	to approach, submit, etc. etc.
succendo	to kindle, set afire from below.
succenseo	to be irritated.
successio	succeeding, succession, descent, descendant. succession.
succresco	to grow up after.
succumbo	to surrender.
succurro	to assist. to run up under /aid, assist, help.
sudo	to toil. labor, sweat.
suetus	 accustomed to.
sufficiens	adequate, affluent, availing.
sufficienter	affluently, adequately.
sufficientia	affluence, sufficiency.
sufficio	to be affluent, avail for, to afford, supply, furnish with. to be sufficient, suffice, be enough.
suffoco	to choke, stifle. to strangle, choke, suffocate.
suffragium	intercession by saint with god, church province. succor, support aid, incitement, maintenance, resource,. vote, franchise /approval support, aid, assistance.
suffrago	to support.
suffulcio	to prop up, bolstered.
suffusus	imbued.
suggero	to bring up, supply, provide, add, attach. place next. to excite, prompt, suggest, assign, bring to mind, offer.
suggestus	platform, raised place.
sui	himself, herself, itself.
sulum	each, every.
summa	the highest part /whole, sum.
summisse	humbly, softly, calmly, modestly.
summittere	to lower.
summitto	(se) to condescend, submit /raise, rear, make grow. to let down, lower /subject, subordinate. to send as help /to send secretly.
summoneo	to give a hint.
summopere	very much, exceedingly. very much.
sumo	to choose, take up, apply, employ. to take, choose, obtain, buy./ take for granted, assume.
sumptus	expense, cost. expenses.
suo	to stitch, join.
supellectilis	household furniture, goods.
super	(adv.) over, above, besides, beyond, moreover, remaining. (prep.) (+ abl.) over, above /concerning, about, besides.
superabundo-avi	to be very abundant.
superbia	pride, arrogance.
superbiens	arrogant, domineering.
superbus	overbearing, arrogant, haughty, proud.
supercilium	haughtiness.
superficies	surface, top.
superfluo	flow over, overflow, be superfluous.
supergredior	to step over.
supermitto	to pour upon.
superna	northeast by north wind. supernal.
superne	from above, above.
supernus	above, superior.
supero	to be above, have the upper hand, surpass, conquer, overcome. to vanquish, outstrip.
supersilium	haughtiness.
superstes	surviving, present, standing. survivor of another's death.
supersto	to survive.
supersum	to be superfluous, to remain.
superus	higher.
supervacuus	superfluous, unnecessary, extra.
supervenio	to arrive, come up, arrive unexpectedly. to overtake, arrive.
supparum	garment.
suppedito	to give in abundance.
supplanto	to trip up.
supplex	 suppliant. kneeling, entreating, suppliant. prayerful
suppliciter	supplicatingly.
supplicium	punishment. torment.
supra	(+ acc.) above.
surculus	shoot, sprout.
surgo	to arise.
surrideo	to smile.
surripio	to pilfer.
surrogo	to to put in another's place.
sursum	upwards.
sus	swine, pig, hog.
susceptor	guardian.
suscipere	to undergo, receive, take up, sponsorship at baptism.
suscipio	take up, support, raise /accept /undertake, begin. to raise up, maintain, support, accept, receive, undertake.
suscitatio	(-onis) f, rekindling, awakening.
suscito	to stir up, arouse, excite.
suscriptor	the signer of a document.
susicivus	left over, to spare, extra, superfluous.
suspectus	suspected.
suspendo	to suspend, hang. to vault.
suspicio	to look upward at, esteem, respect /to suspect.
suspicor	to suppose.
suspiro	to sigh, draw a deep breath /long for, yearn after.
sustento	to maintain, sustain.
sustineo	to hold up, sustain, endure.
sustituo	to put next, put under, put in place of.
susurro	to whisper, buzz.
sycamorus	sycamore
sycophanta	sycophant
syllaba	syllable
symphonia	symphony
synagoga	synagogue.
tabella	writing tablet.
tabellae	letter, document.
tabernus	booth, hut, cottage, hove, small shop, inn, tavern.
tabesco	to melt, waste away, pine, be spoiled.
tabidus	melted away/ melting away.
tabula	board, plank, gaming board, painted panel.
taceo	to be silent, say nothing, pass over.
tactus	sense of feeling, touch.
taeda	pitch-pine torch.
taeter	loathsome.
talarius	having to do with dice or dice-playing.
talea	rod, stick, stake, bar /cutting, slip.
talentum	pound, talent, endowment, aptitude.
talio	retaliation in kind. retribution.
talis	of such a kind, such.
talus	the ankle, ankle bone.
tam	adv, so, to such a degree. to such a degree, so, so far.
tamdiu	for such a long time.
tamen	however, but. nothwithstanding, nevertheless, yet, still, for all that.
tametsi	even if, although.
tamisium	sieve, sifter (Herman, p. 308).
tandem	at last, finally. at length.
tango	to touch, besprinkle.
tango-tetigi-tactum	3, to touch, touch upon, to speak of.
tanquam	adv, just as, as if, like as.
tantillum	such a trifle.
tantillus	so little, so small.
tantum	only.
tantummodo	only just, just so long as.
tantundem	adv, just so much, just as far as.
tantus	so large, so great, of such a size.
tardo	to impede.
tardus	slow, late, tardy. sluggish.
te	(abl.) you /no one's sweeter than YOU. (acc.) you /i got YOU, babe.
tectum	shelter.
tegmen	covering.
tego	to conceal.
tela	a web, that which is woven, cloth, tissue.
tellus	region, country, land.
telum	armament, arms, weapon, spear. javelin, spear, arrow, bolt, dart.
temeritas	rashness, boldness. rashness, temerity, boldness.
temero	to profane, desecrate.
temperantia	continence moderation, self-control, temprance.
tempero	(+ dat.) to control, use with moderation, spare,. (+abl. or with ab) to keep from, refrain from. be moderate, control oneself. to mix properly, temper, regulate, mitigate.
tempestas	storm, weather.
tempestuosus	stormy.
templum	sacred precinct, temple, sometimes church, sanctuary.
temporalis-e	transitory.
temptatio	trial, temptation.
tenax	grasping, stingy, cligning, frugal, obstinate.
tendo	to direct, try, attempt, stretch, extend, present, give. to strive, go, heighten, aggravate.
teneo	to grasp, know, understand. to hold, keep, possess, maintain. to keep on, persist, persevere, endure. to occupy, keep, hold.
tener	tender.
tenor	sense, contents, uninterrupted course, a holding fast.
tentatio	trial, attack, duration, temptation, judgement.
tento	to try, test.
tentorium	tent.
tenuis	thin, slight, feeble, slim, slender.
tenura	holding, tenure, feudal holding, by feudal tenure.
tenus	(after a name in abl. or gen.) up to, down to as far as. (prep. with abl) as far as, up to, to, down to.
tepesco	to cool, grow lukewarm, decrease.
tepidus	lukewarm. warm, luke-warm, tepid.
ter	three times, thrice.
terebro	to bore through, perforate.
teres	rounded, polished, smooth, fine, elegant.
tergiversatio	backwardness, reulctance, evasion.
tergum	skin, hide/back, rear.
tergus	the back /skin, hide, leather.
termes	a tree branch (especially olive).
terminatio	termination, determination, setting of boundaries.
termino	restrict, define, close, set a limit to.
terminus	a boundary mark, limit, end, border.
